05:19:47 INFO  fir_decimate.c:119: Config succesfully loaded from daq_chain_config.ini
05:19:47 INFO  fir_decimate.c:120: Channel number: 9
05:20:32 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[129]
05:20:32 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[130]
05:20:32 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[130]
05:20:32 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[131]
05:20:32 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[131]
05:20:33 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[132]
05:20:33 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[132]
05:20:33 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[133]
05:20:33 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[133]
05:20:33 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[134]
05:20:33 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[134]
05:20:33 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[135]
05:20:33 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[135]
05:20:34 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[136]
05:20:34 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[136]
05:20:34 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[137]
05:20:34 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[137]
05:20:34 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[138]
05:20:34 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[138]
05:20:34 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[139]
05:20:34 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[139]
05:20:35 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[140]
